id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,collect_date
16020069,24056211,Blair,Kingston,-37.99241216,145.0691004,Private room,96,1,33,1/12/18,1.5,1,173,2018-12-07
16021817,27805462,Laurie,Hume,-37.63009899,144.744957,Private room,289,1,0,,,4,89,2018-12-07
16022192,104209321,Jules,Darebin,-37.75349286,144.9898124,Entire home/apt,69,2,35,28/09/18,1.48,1,0,2018-12-07
16022659,74066800,Nicky,Stonnington,-37.83539572,144.9910203,Entire home/apt,84,14,1,29/01/18,0.1,47,72,2018-12-07
16022693,104214325,Damien And Kathleen,Moreland,-37.72982054,144.9610432,Entire home/apt,109,3,26,24/01/18,1.31,1,0,2018-12-07
16022798,74066800,Nicky,Stonnington,-37.83695189,144.9910925,Entire home/apt,84,14,0,,,47,72,2018-12-07
16023085,74066800,Nicky,Stonnington,-37.83681411,144.9911582,Entire home/apt,84,31,0,,,47,61,2018-12-07
16027932,26978580,Sarah,Stonnington,-37.84223241,144.9981665,Entire home/apt,249,5,2,5/01/17,0.08,1,0,2018-12-07
16028481,86806627,Ling,Glen Eira,-37.89678517,145.0642322,Private room,60,3,6,6/08/18,0.26,1,89,2018-12-07
16028849,46198406,Christine,Moonee Valley,-37.76396931,144.9119804,Private room,60,1,62,20/10/18,2.48,1,269,2018-12-07
16030628,44973366,Steve,Stonnington,-37.83668642,145.0007635,Entire home/apt,850,7,0,,,1,0,2018-12-07
16031983,19589009,Lesley,Port Phillip,-37.86033233,144.9762237,Entire home/apt,168,7,0,,,4,202,2018-12-07
16032779,8966666,Nick,Stonnington,-37.84924751,144.9914283,Private room,100,2,2,31/12/16,0.08,1,0,2018-12-07
16033198,25019250,Luke,Yarra,-37.80092212,144.9944689,Entire home/apt,159,7,8,24/05/17,0.34,11,0,2018-12-07
16033800,61628452,Jenni & Chris,Melbourne,-37.79957113,144.9521818,Private room,90,2,65,1/12/18,3.14,1,15,2018-12-07
